TIMESTAMP,I_dir_Avg,I_glo_Avg,I_dif_Avg,AirTC_Avg,RH,CS106_PB_Avg
2015-01-01 00:00:00,0.0,0.0,0.0,17.75,60.12,878.4097
2015-01-01 00:10:00,0.0,0.0,0.0,17.46,59.51,878.827
2015-01-01 00:20:00,0.136,0.0,0.0,17.78,57.6,878.8638
2015-01-01 00:30:00,0.351,0.0,0.0,18.08,59.78,878.7399
2015-01-01 00:40:00,0.0,0.002,0.0,17.57,59.99,878.6697
2015-01-01 00:50:00,0.0,0.0,0.0,17.31,61.04,878.3202
2015-01-01 01:00:00,0.055,0.0,0.0,17.22,60.88,878.256
2015-01-01 01:10:00,0.0,0.0,0.0,17.03,63.16,878.2894
2015-01-01 01:20:00,0.0,0.0,0.0,16.63,62.54,878.3227
2015-01-01 01:30:00,0.205,0.0,0.0,16.8,63.26,878.5737
2015-01-01 01:40:00,0.212,0.0,0.0,16.75,62.96,878.4822
2015-01-01 01:50:00,0.0,0.002,0.0,16.54,62.79,878.4182
2015-01-01 02:00:00,0.019,0.004,0.0,16.48,64.77,878.1744
2015-01-01 02:10:00,0.0,0.0,0.0,16.13,65.35,878.2866
2015-01-01 02:20:00,0.002,0.08,0.0,16.08,65.35,878.256
2015-01-01 02:30:00,0.064,0.303,0.0,16.11,64.19,878.2189
2015-01-01 02:40:00,0.401,0.121,0.0,16.31,63.71,878.1377
2015-01-01 02:50:00,0.332,0.046,0.0,16.36,63.3,878.0908
2015-01-01 03:00:00,0.254,0.004,0.0,16.2,63.88,878.1393
2015-01-01 03:10:00,0.288,0.0,0.0,16.16,62.62,878.1664
2015-01-01 03:20:00,0.076,0.0,0.0,15.89,65.08,878.2388
2015-01-01 03:30:00,0.0,0.007,0.0,15.96,64.02,878.0495
2015-01-01 03:40:00,0.001,0.046,0.0,15.89,64.05,877.8965
2015-01-01 03:50:00,0.0,0.05,0.0,16.1,64.39,877.9294
2015-01-01 04:00:00,0.09,0.0,0.0,15.76,65.55,878.1255
2015-01-01 04:10:00,0.38,0.001,0.0,15.73,63.54,810.9083
2015-01-01 04:20:00,0.152,0.2,0.0,15.75,65.76,878.2484
2015-01-01 04:30:00,0.045,0.138,0.0,15.52,65.18,878.1831
2015-01-01 04:40:00,0.029,0.117,0.0,15.51,64.84,878.2318
2015-01-01 04:50:00,0.0,0.022,0.0,15.34,66.1,878.1748
2015-01-01 05:00:00,0.016,0.062,0.0,15.32,66.81,878.1014
2015-01-01 05:10:00,0.136,0.011,0.111,15.29,64.7,878.1744
2015-01-01 05:20:00,0.211,0.011,0.108,15.35,66.54,878.1591
2015-01-01 05:30:00,0.032,0.0,0.024,14.87,72.17,878.2565
2015-01-01 05:40:00,0.029,0.002,0.0,14.41,67.5,878.2811
2015-01-01 05:50:00,0.346,0.045,0.012,15.09,64.56,878.2077
2015-01-01 06:00:00,0.597,0.056,0.001,15.38,64.6,878.314
2015-01-01 06:10:00,0.579,0.09,0.023,15.5,64.43,878.3548
2015-01-01 06:20:00,0.395,0.001,0.0,15.49,64.16,878.4208
2015-01-01 06:30:00,0.0,0.0,0.0,15.23,65.69,878.5427
2015-01-01 06:40:00,0.0,0.001,0.0,15.06,68.35,878.5921
2015-01-01 06:50:00,0.0,0.039,0.0,14.48,67.43,878.6169
2015-01-01 07:00:00,0.0,0.466,0.237,14.55,70.7,878.6577
2015-01-01 07:10:00,0.149,2.576,2.24,14.29,67.43,878.6985
2015-01-01 07:20:00,0.17,8.41,6.991,14.37,68.42,878.8376
2015-01-01 07:30:00,0.38,29.66,16.66,14.63,67.97,878.9442
2015-01-01 07:40:00,0.001,60.02,25.54,14.73,68.01,879.0339
2015-01-01 07:50:00,0.0,91.4,32.74,14.88,66.68,879.3125
2015-01-01 08:00:00,0.0,126.7,39.34,15.62,62.69,879.525
2015-01-01 08:10:00,0.0,161.8,44.3,16.53,60.41,879.623
2015-01-01 08:20:00,0.0,197.8,48.24,17.65,55.77,879.6753
2015-01-01 08:30:00,0.0,236.4,52.78,19.25,52.9,879.7786
2015-01-01 08:40:00,0.0,271.9,56.9,19.3,53.99,879.7275
2015-01-01 08:50:00,0.0,309.0,59.84,19.64,51.6,879.8127
2015-01-01 09:00:00,0.0,345.4,61.61,20.0,50.54,879.8506
2015-01-01 09:10:00,0.0,380.5,65.59,20.8,47.1,879.949
2015-01-01 09:20:00,0.0,415.4,67.94,21.88,44.78,880.1247
2015-01-01 09:30:00,0.0,450.6,69.28,20.87,47.47,880.4346
2015-01-01 09:40:00,0.0,490.1,70.99,21.46,44.3,880.5572
2015-01-01 09:50:00,0.0,518.4,71.95,21.54,44.06,880.6305
